companyName,ticker,profile,website,headquarters,industry,largeBlockOwners,totalShares,institutionOwners,fundOwners,otherHolders,northAmHoldings,southAmHoldings,euroHoldings,africaHoldings,asiaHoldings,ausHoldings
PepsiCo Inc.                    ,PEP,"PepsiCo, Inc. is a beverage and convenient food company. The Company's segments include Frito-Lay North America, which includes its food businesses in the United States and Canada; Quaker Foods North America, which includes its food businesses, such as cereal, rice, pasta and other branded food, in the United States and Canada; PepsiCo Beverages North America, which includes its beverage businesses in the United States and Canada; Latin America, which includes its beverage...More    ",,"700 ANDERSON HILL RDPurchase, NY10577United States",FoodDrink,4209,1100000000,4132,3818,77,56.4,,11.0,0.1,1.4,
PENN Entertainment Inc          ,PENN,"PENN Entertainment, Inc. is a provider of integrated entertainment, sports content and casino gaming experiences. The Company operates over 43 properties in 20 states, online sports betting in 18 jurisdictions and iCasino in five jurisdictions, under a portfolio of brands, including Hollywood Casino, L’Auberge, ESPN BET, and theScore Bet Sportsbook and Casino. Its segments include Northeast, South, West, Midwest, and Interactive. The Northeast segment include Ameristar East...More   ",,"Wyomissing Professional CenterWyomissing, PA19610United States",Entertainment,505,153200000,462,298,43,88.4,,6.3,,4.0,
Occidental Petroleum Corp       ,OXY,"Occidental Petroleum Corporation is an international energy company with assets primarily in the United States, the Middle East, and North Africa. The Company is an oil and gas producer in the United States, including a producer in the Permian and DJ basins, and the offshore Gulf of Mexico. It operates through three segments: oil and gas, chemical and midstream and marketing. The oil and gas segment explores for, develops, and produces oil (which includes condensate), natural...More ",,"5 GREENWAY PLAZA, SUITE 110Houston, TX77046United States",OilGas,1604,734800000,1541,1472,63,68.7,,4.5,0.1,0.8,0.1
Novo Nordisk A/S                ,NVO,"Novo Nordisk A/S is a global healthcare company engaged in diabetes care. The Company is also engaged in the discovery, development, manufacturing and marketing of pharmaceutical products. The Company operates through two business segments: diabetes and obesity care, and biopharmaceuticals. The Company's diabetes and obesity care segment covers insulin, GLP-1, other protein-related products, such as glucagon, protein-related delivery systems and needles, and oral...More              ",,Novo Alle 1Bagsvaerd2880Denmark,Healthcare,2044,339800000,2002,511,42,6.7,,0.6,,,0.1
Nextera Energy Inc              ,NEE,"NextEra Energy, Inc. is an electric power and energy infrastructure company. It operates through its wholly owned subsidiaries, NextEra Energy Resources, LLC and NextEra Energy Transmission, LLC (collectively, NEER) and Florida Power & Light Company (FPL). Its segments include NEER and FPL. FPL segment is a rate-regulated electric utility engaged in the generation, transmission, distribution and sale of electric energy in Florida. FPL has approximately 33,276 megawatts (MW)...More   ",,"700 Universe BlvdJuno Beach, FL33408United States",Energy,3397,1700000000,3321,3399,76,60.8,,13.1,,1.4,0.5
Motorola Solutions Inc          ,MSI,"Motorola Solutions, Inc. provides public safety and enterprise security. The Company offers safety and security technologies, which include land mobile radio communications (LMR), video security, and command center. Across technologies, it offers cloud-based and hybrid solutions, cybersecurity services, software and subscriptions services as well as managed and support services. Its segments include Products and Systems Integration, and Software and Services. The Products and...More ",,"500 W. Monroe St.Chicago, IL60661United States",Telecommunications,1829,146700000,1773,2873,56,65.4,0.5,14.9,,1.2,1.4
Eli Lilly and Co                ,LLY,"Eli Lilly and Company is a medicine company. The Company discovers, develops, manufactures and markets products in the human pharmaceutical products segment. Its diabetes, obesity and other cardiometabolic products include Basaglar, Humalog, Mounjaro, Trulicity and Zepbound. Its oncology products include Alimta, Retevmo, Tyvyt and Verzenio. Its immunology products include Ebglyss, Olumiant, Omvoh and Taltz. Its neuroscience products include Cymbalta and Emgality. Its other...More    ",,"Lilly Corporate Ctr, Drop Code 1094Indianapolis, IN46285-0001United States",Healthcare,4660,793700000,4580,5377,80,67.6,,8.7,,0.9,0.1
Community Health Systems Inc    ,CYH,"Community Health Systems, Inc. is a healthcare company. The Company, through its subsidiaries, owns or leases over 70 affiliated hospitals with more than 11,000 beds and operates more than 1,000 sites of care, including physician practices, urgent care centers, freestanding emergency departments, occupational medicine clinics, imaging centers, cancer centers and ambulatory surgery centers. The Company, through its affiliates, providers of healthcare service, develops and...More      ",,"4000 Meridian BlvdFranklin, TN37067-6325United States",Healthcare,278,121700000,242,240,36,82.1,,5.2,,0.2,
Clearway Energy Inc             ,CWEN,"Clearway Energy, Inc. is a renewable energy company. The Company invests in energy infrastructures and focuses on investments in clean energy and owns modern, sustainable and long-term contracted assets across North America. Its businesses are segregated based on conventional power generation and renewable businesses, which consist of solar, wind and energy storage. It owns approximately 6,200 net megawatts (MW) of installed wind, solar and energy storage projects. The...More        ",,"300 Carnegie Ctr Ste 300Princeton, NJ08540-6255United States",Energy,490,77000000,462,483,28,79.1,,13.5,,0.1,0.1
Chevron Corp                    ,CVX,"Chevron Corporation is an integrated energy company. The Company produces crude oil and natural gas; manufactures transportation fuels, lubricants, petrochemicals and additives; and develops technologies that enhance its business and the industry. The Company’s upstream operations consist primarily of exploring for, developing, producing and transporting crude oil and natural gas; liquefaction, transportation and regasification associated with liquefied natural gas (LNG);...More     ",,"5001 EXECUTIVE PARKWAY, SUITE 200San Ramon, CA94583United States",OilGas,4171,1400000000,4098,3055,73,60.9,,6.1,,1.1,0.1
CVS Health Corp                 ,CVS,"CVS Health Corporation is a health solutions company. The Company operates in four segments: Health Care Benefits, Health Services, Pharmacy & Consumer Wellness, and Corporate/Other. Its Health Care Benefits segment offer a range of traditional, voluntary and consumer-directed health insurance products and related services, including medical, pharmacy, dental and behavioral health plans, medical management capabilities, Medicare Advantage and Medicare supplement plans, and...More    ",,"1 Cvs DrWoonsocket, RI02895-6146United States",Healthcare,2420,1000000000,2344,2559,76,66.2,,9.5,,1.3,0.4
ConocoPhillips                  ,COP,"ConocoPhillips is an exploration and production company. The Company operates through six segments. The Alaska segment primarily explores for, produces, transports and markets crude oil, natural gas, and natural gas liquids (NGLs). The Lower 48 segment consists of operations located in the 48 contiguous United States and the Gulf of Mexico. Its Canada segments consist of the Surmont oil sands developments in Alberta and British Columbia. The Europe, Middle East and North...More      ",,"925 N. Eldridge ParkwayHouston, TX77079-2703United States",OilGas,2815,973700000,2751,2603,64,61.6,,6.5,,1.1,0.1
Comcast Corp                    ,CMCSA,"Comcast Corporation is a global media and technology company. It delivers broadband, wireless, and video through Xfinity, Comcast Business, and Sky; produce, distribute, and stream entertainment, sports, and news through brands, including NBC, Telemundo, Universal, Peacock, and Sky; and brings theme parks and attractions to life through Universal Destinations and Experiences. It operates through two primary businesses: Connectivity & Platforms and Content & Experiences. The...More   ",,"One Comcast CenterPhiladelphia, PA19103-2838United States",Telecommunications,3045,3400000000,2976,3595,69,70.8,,9.4,,1.2,0.4
Civitas Resources Inc           ,CIVI,"Civitas Resources, Inc. is an independent, domestic oil and gas producer focused on development of its assets in the Denver-Julesburg (DJ) and Permian Basins. The Company’s operations are focused along the Denver-Julesburg (DJ), Delaware and Midland Basins. Its development facilities are located in counties across the Front Range of northern and central Colorado, as well as Southeastern New Mexico and West Texas. Its acreage position in the DJ Basin is about 453,600 net acres...More ",,"555 - 17Th Street, Suite 3700Denver, CO80202United States",OilGas,559,96400000,520,598,39,93.3,,4.1,,0.4,
Anheuser-Busch Inbev SA         ,BUD,"Anheuser-Busch Inbev SA is a Belgium-based company. The Company is primarily engaged in the manufacturing of beer. The Company operates through six segments: North America, Middle Americas, South America, EMEA, Asia Pacific, Global Export and Holding companies. The Company's brand portfolio includes global brands, such as Budweiser, Corona and Stella Artois; international brands, including Beck's, Leffe and Hoegaarden, and local champions, such as Bud Light, Skol, Brahma...More      ",,Brouwerijplein 1BLeuven (louvain)3000Belgium,FoodDrink,587,105300000,558,87,29,5.2,,,,,
Berkshire Hathaway Inc          ,BRK.B,"Berkshire Hathaway Inc. and its subsidiaries are engaged in diverse business activities, including insurance and reinsurance, utilities and energy, freight rail transportation, manufacturing, services and retailing. The Company’s segments include Insurance; Railroad (BNSF); Berkshire Hathaway Energy (BHE); Pilot Travel Centers (Pilot); Manufacturing; McLane Company (McLane), and Service and retailing. The Insurance segment includes GEICO, Berkshire Hathaway Primary Group and...More  ",,"3555 Farnam StreetOmaha, NE68131United States",Trasportation,4980,888600000,4917,3174,63,49.4,,7.3,,1.1,0.1
Bristol-Myers Squibb Co         ,BMY,"Bristol-Myers Squibb Company is a biopharmaceutical company engaged in the discovery, development and delivering advanced medicines that help patients prevail over serious diseases. It offers products for various therapeutic classes, which includes oncology, hematology, immunology, cardiovascular and neuroscience. Its pharmaceutical products include chemically synthesized or small molecule drugs, products produced from biological processes, called biologics and chimeric...More       ",,"Route 206 And Province Line RoadPrinceton, NJ08543United States",Healthcare,2945,1600000000,2874,3384,71,57.3,,13.4,,1.4,0.4
Ares Management Corp            ,ARES,"Ares Management Corporation is an alternative investment manager offering clients complementary primary and secondary investment solutions across various asset classes. Its segments include Credit Group, Private Equity Group, Real Assets Group, Secondaries Group, and Other. The Credit Group segment manages credit strategies across the liquid and illiquid spectrum, including liquid credit, alternative credit, direct lending and APAC credit. The Private Equity Group segment...More     ",,"1800 Ave Of The Stars, Suite 1400Los Angeles, CA90067United States",Energy,912,192300000,869,1279,43,79.6,,6.2,,7.5,0.2
APA Corp (US)                   ,APA,"APA Corporation is an independent energy company. The Company owns subsidiaries that explore for and produce oil and natural gas in the United States, Egypt, and the United Kingdom, and that explore for oil and natural gas offshore Suriname. The Company’s upstream business has oil and gas operations in three geographic areas: the United States, Egypt and offshore the United Kingdom in the North Sea (North Sea). It also has active exploration and appraisal operations ongoing...More   ",,"2000 W Sam Houston Pkwy S, Suite 200Houston, TX77046United States",OilGas,900,320900000,860,1251,40,76.5,,6.0,,1.1,0.3
Avangrid Inc                    ,AGR,"Avangrid, Inc. is a sustainable energy company in the United States. The Company operates in approximately 24 states with two primary lines of business: Avangrid Networks and Avangrid Renewables. Avangrid Networks owns eight electric and natural gas utilities, serving approximately 3.3 million customers in New York and New England. Avangrid Renewables owns and operates 9.3 gigawatts of electricity capacity, primarily through wind and solar power, with a presence in 22 states...More  ",,"180 Marsh Hill RdOrange, CT06477United States",Energy,417,363600000,383,432,34,9.3,0.3,82.6,,,0.2
