Symbol ,Name                            ,Summary                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,Website ,Headquarters
PM     ,Philip Morris International Inc ,"Philip Morris International Inc. is an international tobacco company. The Company's product portfolio primarily consists of cigarettes and smoke-free products, which include heat-not-burn, vapor, and oral nicotine products. The Company’s segments include Europe Region; South and Southeast Asia, Commonwealth of Independent States, Middle East and Africa Region (SSEA, CIS & MEA); East Asia, Australia, and PMI Duty Free Region (EA, AU & PMI DF); Americas Region; Swedish Match...More"    ,N/A     ,"677 Washington Blvd, Ste. 1100Stamford, CT06901United States"
PEP    ,PepsiCo Inc.                    ,"PepsiCo, Inc. is a beverage and convenient food company. The Company's segments include Frito-Lay North America, which includes its food businesses in the United States and Canada; Quaker Foods North America, which includes its food businesses, such as cereal, rice, pasta and other branded food, in the United States and Canada; PepsiCo Beverages North America, which includes its beverage businesses in the United States and Canada; Latin America, which includes its beverage...More"    ,N/A     ,"700 ANDERSON HILL RDPurchase, NY10577United States"
PENN   ,PENN Entertainment Inc          ,"PENN Entertainment, Inc. is a provider of integrated entertainment, sports content and casino gaming experiences. The Company operates over 43 properties in 20 states, online sports betting in 18 jurisdictions and iCasino in five jurisdictions, under a portfolio of brands, including Hollywood Casino, L’Auberge, ESPN BET, and theScore Bet Sportsbook and Casino. Its segments include Northeast, South, West, Midwest, and Interactive. The Northeast segment include Ameristar East...More"   ,N/A     ,"Wyomissing Professional CenterWyomissing, PA19610United States"
OXY    ,Occidental Petroleum Corp       ,"Occidental Petroleum Corporation is an international energy company with assets primarily in the United States, the Middle East, and North Africa. The Company is an oil and gas producer in the United States, including a producer in the Permian and DJ basins, and the offshore Gulf of Mexico. It operates through three segments: oil and gas, chemical and midstream and marketing. The oil and gas segment explores for, develops, and produces oil (which includes condensate), natural...More" ,N/A     ,"5 GREENWAY PLAZA, SUITE 110Houston, TX77046United States"
NVO    ,Novo Nordisk A/S                ,"Novo Nordisk A/S is a global healthcare company engaged in diabetes care. The Company is also engaged in the discovery, development, manufacturing and marketing of pharmaceutical products. The Company operates through two business segments: diabetes and obesity care, and biopharmaceuticals. The Company's diabetes and obesity care segment covers insulin, GLP-1, other protein-related products, such as glucagon, protein-related delivery systems and needles, and oral...More"              ,N/A     ,Novo Alle 1Bagsvaerd2880Denmark
NEE    ,Nextera Energy Inc              ,"NextEra Energy, Inc. is an electric power and energy infrastructure company. It operates through its wholly owned subsidiaries, NextEra Energy Resources, LLC and NextEra Energy Transmission, LLC (collectively, NEER) and Florida Power & Light Company (FPL). Its segments include NEER and FPL. FPL segment is a rate-regulated electric utility engaged in the generation, transmission, distribution and sale of electric energy in Florida. FPL has approximately 33,276 megawatts (MW)...More"   ,N/A     ,"700 Universe BlvdJuno Beach, FL33408United States"
MSI    ,Motorola Solutions Inc          ,"Motorola Solutions, Inc. provides public safety and enterprise security. The Company offers safety and security technologies, which include land mobile radio communications (LMR), video security, and command center. Across technologies, it offers cloud-based and hybrid solutions, cybersecurity services, software and subscriptions services as well as managed and support services. Its segments include Products and Systems Integration, and Software and Services. The Products and...More" ,N/A     ,"500 W. Monroe St.Chicago, IL60661United States"
LLY    ,Eli Lilly and Co                ,"Eli Lilly and Company is a medicine company. The Company discovers, develops, manufactures and markets products in the human pharmaceutical products segment. Its diabetes, obesity and other cardiometabolic products include Basaglar, Humalog, Mounjaro, Trulicity and Zepbound. Its oncology products include Alimta, Retevmo, Tyvyt and Verzenio. Its immunology products include Ebglyss, Olumiant, Omvoh and Taltz. Its neuroscience products include Cymbalta and Emgality. Its other...More"    ,N/A     ,"Lilly Corporate Ctr, Drop Code 1094Indianapolis, IN46285-0001United States"
CYH    ,Community Health Systems Inc    ,"Community Health Systems, Inc. is a healthcare company. The Company, through its subsidiaries, owns or leases over 70 affiliated hospitals with more than 11,000 beds and operates more than 1,000 sites of care, including physician practices, urgent care centers, freestanding emergency departments, occupational medicine clinics, imaging centers, cancer centers and ambulatory surgery centers. The Company, through its affiliates, providers of healthcare service, develops and...More"      ,N/A     ,"4000 Meridian BlvdFranklin, TN37067-6325United States"
CWEN   ,Clearway Energy Inc             ,"Clearway Energy, Inc. is a renewable energy company. The Company invests in energy infrastructures and focuses on investments in clean energy and owns modern, sustainable and long-term contracted assets across North America. Its businesses are segregated based on conventional power generation and renewable businesses, which consist of solar, wind and energy storage. It owns approximately 6,200 net megawatts (MW) of installed wind, solar and energy storage projects. The...More"        ,N/A     ,"300 Carnegie Ctr Ste 300Princeton, NJ08540-6255United States"
CVX    ,Chevron Corp                    ,"Chevron Corporation is an integrated energy company. The Company produces crude oil and natural gas; manufactures transportation fuels, lubricants, petrochemicals and additives; and develops technologies that enhance its business and the industry. The Company’s upstream operations consist primarily of exploring for, developing, producing and transporting crude oil and natural gas; liquefaction, transportation and regasification associated with liquefied natural gas (LNG);...More"     ,N/A     ,"5001 EXECUTIVE PARKWAY, SUITE 200San Ramon, CA94583United States"
CVS    ,CVS Health Corp                 ,"CVS Health Corporation is a health solutions company. The Company operates in four segments: Health Care Benefits, Health Services, Pharmacy & Consumer Wellness, and Corporate/Other. Its Health Care Benefits segment offer a range of traditional, voluntary and consumer-directed health insurance products and related services, including medical, pharmacy, dental and behavioral health plans, medical management capabilities, Medicare Advantage and Medicare supplement plans, and...More"    ,N/A     ,"1 Cvs DrWoonsocket, RI02895-6146United States"
COP    ,ConocoPhillips                  ,"ConocoPhillips is an exploration and production company. The Company operates through six segments. The Alaska segment primarily explores for, produces, transports and markets crude oil, natural gas, and natural gas liquids (NGLs). The Lower 48 segment consists of operations located in the 48 contiguous United States and the Gulf of Mexico. Its Canada segments consist of the Surmont oil sands developments in Alberta and British Columbia. The Europe, Middle East and North...More"      ,N/A     ,"925 N. Eldridge ParkwayHouston, TX77079-2703United States"
CMCSA  ,Comcast Corp                    ,"Comcast Corporation is a global media and technology company. It delivers broadband, wireless, and video through Xfinity, Comcast Business, and Sky; produce, distribute, and stream entertainment, sports, and news through brands, including NBC, Telemundo, Universal, Peacock, and Sky; and brings theme parks and attractions to life through Universal Destinations and Experiences. It operates through two primary businesses: Connectivity & Platforms and Content & Experiences. The...More"   ,N/A     ,"One Comcast CenterPhiladelphia, PA19103-2838United States"
CIVI   ,Civitas Resources Inc           ,"Civitas Resources, Inc. is an independent, domestic oil and gas producer focused on development of its assets in the Denver-Julesburg (DJ) and Permian Basins. The Company’s operations are focused along the Denver-Julesburg (DJ), Delaware and Midland Basins. Its development facilities are located in counties across the Front Range of northern and central Colorado, as well as Southeastern New Mexico and West Texas. Its acreage position in the DJ Basin is about 453,600 net acres...More" ,N/A     ,"555 - 17Th Street, Suite 3700Denver, CO80202United States"
CIVI   ,Civitas Resources Inc           ,"Civitas Resources, Inc. is an independent, domestic oil and gas producer focused on development of its assets in the Denver-Julesburg (DJ) and Permian Basins. The Company’s operations are focused along the Denver-Julesburg (DJ), Delaware and Midland Basins. Its development facilities are located in counties across the Front Range of northern and central Colorado, as well as Southeastern New Mexico and West Texas. Its acreage position in the DJ Basin is about 453,600 net acres...More" ,N/A     ,"555 - 17Th Street, Suite 3700Denver, CO80202United States"
BUD    ,Anheuser-Busch Inbev SA         ,"Anheuser-Busch Inbev SA is a Belgium-based company. The Company is primarily engaged in the manufacturing of beer. The Company operates through six segments: North America, Middle Americas, South America, EMEA, Asia Pacific, Global Export and Holding companies. The Company's brand portfolio includes global brands, such as Budweiser, Corona and Stella Artois; international brands, including Beck's, Leffe and Hoegaarden, and local champions, such as Bud Light, Skol, Brahma...More"      ,N/A     ,Brouwerijplein 1BLeuven (louvain)3000Belgium
BRK.B  ,Berkshire Hathaway Inc          ,"Berkshire Hathaway Inc. and its subsidiaries are engaged in diverse business activities, including insurance and reinsurance, utilities and energy, freight rail transportation, manufacturing, services and retailing. The Company’s segments include Insurance; Railroad (BNSF); Berkshire Hathaway Energy (BHE); Pilot Travel Centers (Pilot); Manufacturing; McLane Company (McLane), and Service and retailing. The Insurance segment includes GEICO, Berkshire Hathaway Primary Group and...More"  ,N/A     ,"3555 Farnam StreetOmaha, NE68131United States"
BMY    ,Bristol-Myers Squibb Co         ,"Bristol-Myers Squibb Company is a biopharmaceutical company engaged in the discovery, development and delivering advanced medicines that help patients prevail over serious diseases. It offers products for various therapeutic classes, which includes oncology, hematology, immunology, cardiovascular and neuroscience. Its pharmaceutical products include chemically synthesized or small molecule drugs, products produced from biological processes, called biologics and chimeric...More"       ,N/A     ,"Route 206 And Province Line RoadPrinceton, NJ08543United States"
ARES   ,Ares Management Corp            ,"Ares Management Corporation is an alternative investment manager offering clients complementary primary and secondary investment solutions across various asset classes. Its segments include Credit Group, Private Equity Group, Real Assets Group, Secondaries Group, and Other. The Credit Group segment manages credit strategies across the liquid and illiquid spectrum, including liquid credit, alternative credit, direct lending and APAC credit. The Private Equity Group segment...More"     ,N/A     ,"1800 Ave Of The Stars, Suite 1400Los Angeles, CA90067United States"
APA    ,APA Corp (US)                   ,"APA Corporation is an independent energy company. The Company owns subsidiaries that explore for and produce oil and natural gas in the United States, Egypt, and the United Kingdom, and that explore for oil and natural gas offshore Suriname. The Company’s upstream business has oil and gas operations in three geographic areas: the United States, Egypt and offshore the United Kingdom in the North Sea (North Sea). It also has active exploration and appraisal operations ongoing...More"   ,N/A     ,"2000 W Sam Houston Pkwy S, Suite 200Houston, TX77046United States"
AGR    ,Avangrid Inc                    ,"Avangrid, Inc. is a sustainable energy company in the United States. The Company operates in approximately 24 states with two primary lines of business: Avangrid Networks and Avangrid Renewables. Avangrid Networks owns eight electric and natural gas utilities, serving approximately 3.3 million customers in New York and New England. Avangrid Renewables owns and operates 9.3 gigawatts of electricity capacity, primarily through wind and solar power, with a presence in 22 states...More"  ,N/A     ,"180 Marsh Hill RdOrange, CT06477United States"
